id|insee|zip|name|slug|latitude|longitude|departments_id|departments_code|departments_name|departments_slug|regions_id|code|regions_name|regions_slug
131|01140|01310|Curtafond|curtafond|46.273678142077|5.1037170491803|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
132|01141|01300|Cuzieu|cuzieu|45.818852688172|5.6798859139785|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
133|01142|01120|Dagneux|dagneux|45.85737752809|5.0744668539326|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
134|01143|01220|Divonne-les-Bains|divonne les bains|46.37205265|6.11931745|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
135|01145|01240|Dompierre-sur-Veyle|dompierre sur veyle|46.065636772487|5.2151875661376|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
136|01146|01400|Dompierre-sur-Chalaronne|dompierre sur chalaronne|46.143917279412|4.9006142647059|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
137|01147|01270|Domsure|domsure|46.424201433121|5.2931132165605|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
138|01148|01590|Dortan|dortan|46.313479781022|5.6452366423358|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
139|01149|01500|Douvres|douvres|45.985360549451|5.3741294505495|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
140|01150|01250|Drom|drom|46.223626826923|5.3699690384615|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
141|01151|01160|Druillat|druillat|46.068407205882|5.2952876470588|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
142|01152|01130|Échallon|echallon|46.223541649485|5.7368471134021|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
143|01153|01170|Échenevex|echenevex|46.315665100671|6.0226862416107|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
144|01154|01340|Étrez|etrez|46.341437405063|5.1962487341772|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
145|01155|01230|Évosges|evosges|45.957167126437|5.4972251724138|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
146|01156|01800|Faramans|faramans|45.907376808511|5.1228655319149|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
147|01157|01480|Fareins|fareins|46.02390752809|4.766631235955|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
148|01158|01550|Farges|farges|46.162470901639|5.919221147541|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
149|01159|01570|Feillens|feillens|46.337210529412|4.8906094117647|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
150|01160|01210|Ferney-Voltaire|ferney voltaire|46.25432|6.106802238806|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
151|01162|01350|Flaxieu|flaxieu|45.811773389831|5.740849661017|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
152|01163|01340|Foissiat|foissiat|46.378325784314|5.1871447058823|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
153|01165|01090|Francheleins|francheleins|46.071930666667|4.8244355238095|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
154|01166|01480|Frans|frans|45.992107755102|4.7765397959184|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
155|01167|01140|Garnerans|garnerans|46.211864821429|4.8331286904762|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
156|01169|01090|Genouilleux|genouilleux|46.122538823529|4.8012541176471|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
157|01170|01460|Béard-Géovreissiat|beard geovreissiat|46.191400963855|5.5497537349398|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
158|01171|01100|Géovreisset|geovreisset|46.255557377049|5.6189375409836|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
159|01173|01170|Gex|gex|46.343585086207|6.0474881896552|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
160|01174|01130|Giron|giron|46.217934651163|5.7870181395349|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
161|01175|01190|Gorrevod|gorrevod|46.415424347826|4.9559078985507|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
162|01177|01250|Grand-Corent|grand corent|46.215234157303|5.4387987640449|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
163|01179|01290|Grièges|grieges|46.263813429952|4.853151352657|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
164|01180|01220|Grilly|grilly|46.329173411765|6.1152829411765|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
165|01181|01100|Groissiat|groissiat|46.223585714286|5.6182269642857|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
166|01183|01090|Guéreins|guereins|46.104459090909|4.7865461363636|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
167|01184|01250|Hautecourt-Romanèche|hautecourt romaneche|46.162525359477|5.4267312418301|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
168|01185|01110|Hauteville-Lompnes|hauteville lompnes|45.964660108696|5.5721920108696|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
169|01186|01110|Hostiaz|hostiaz|45.905305163399|5.535915751634|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
170|01187|01260|Haut Valromey|haut valromey|46.036290947075|5.67748|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
171|01188|01140|Illiat|illiat|46.186238926829|4.8932894634146|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
172|01189|01200|Injoux-Génissiat|injoux genissiat|46.047714744898|5.7695633673469|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
173|01190|01680|Innimond|innimond|45.791637425743|5.569959009901|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
174|01191|01430|Izenave|izenave|46.039865545455|5.5238256363636|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
175|01192|01580|Izernore|izernore|46.216806709677|5.5550115483871|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
176|01193|01300|Izieu|izieu|45.653658888889|5.6392182407407|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
